,ID,RELATED_ID,YEAR,MONTH,DAY,DPTOMPIO,MPIO_CNMBR,DEPARTMENT,REGION,MODALITY,RESPONSIBLE,RESPONSIBLE_DESCRIPTION,LAND_DISPOSSESSION,THREAT,MEDICAL_MISSION,CONFINEMENT,DISPLACEMENT,EXTORTION,INJURIES,PLUNDER,TORTURE,GENDER_VIOLENCE,SIMULTANEOUS_EVENT,VICTIMS,WEAPONS,LAT,LON
3901,439412,,2006,7,28,05604,REMEDIOS,ANTIOQUIA,NORDESTE ANTIOQUEÑO,ASSAULT,GUERRILLA,NOT IDENTIFIED,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,4.0,NOT AVAILABLE,7.0260940527,-74.695944258
3902,439413,,1999,1,1,17174,CHINCHINA,CALDAS,EJE CAFETERO,UNKNOWN,PARAMILITARY GROUP,NOT IDENTIFIED,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,4.0,FIREARM,4.985812862,-75.6074807289
3903,439414,,2003,11,9,70215,COROZAL,SUCRE,MORROSQUILLO Y SABANAS DE SUCRE,HOAX,PARAMILITARY GROUP,NOT IDENTIFIED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,FIREARM,9.3191055712,-75.2931671674
3904,439415,,1999,7,27,19698,SANTANDER DE QUILICHAO,CAUCA,NORTE DEL CAUCA,CONTRACT KILLING,PARAMILITARY GROUP,NOT IDENTIFIED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,FIREARM,3.0160539008,-76.4853702902
3905,439416,CR042203,2000,6,30,20621,LA PAZ,CESAR,SERRANIA DEL PERIJA,CHECKPOINT,PARAMILITARY GROUP,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,5.0,CHAINSAW,10.3874895364,-73.1713629126
3906,439418,CR044205,1997,8,27,05579,PUERTO BERRIO,ANTIOQUIA,MAGDALENA MEDIO,ASSAULT,GUERRILLA,NOT IDENTIFIED,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,4.0,NOT AVAILABLE,6.4870411404,-74.4099455275
3907,439420,,2009,11,3,52079,BARBACOAS,NARIÑO,ANDEN PACIFICO SUR,ASSAULT,GUERRILLA,FARC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0,FIREARM,1.670345194,-78.1398949317
3908,439421,CR2017439421,1997,5,15,47980,ZONA BANANERA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,ROUTE,PARAMILITARY GROUP,NOT IDENTIFIED,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,,,6.0,FIREARM,10.8528245421,-74.136607378
3909,439424,,2000,12,22,70001,SINCELEJO,SUCRE,MORROSQUILLO Y SABANAS DE SUCRE,ASSAULT,UNKNOWN,DO NOT APPLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,FIREARM,9.3023331044,-75.3954835627
3910,439426,,1997,4,19,20001,VALLEDUPAR,CESAR,SIERRA NEVADA DE SANTA MARTA,RETENTION/EXECUTION,PARAMILITARY GROUP,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,NOT AVAILABLE,10.4334511684,-73.3905596949
3911,439428,,2011,1,4,23555,PLANETA RICA,CORDOBA,ALTO SINU Y SAN JORGE,ASSAULT,POST-DEMOBILIZATION GROUP,URABEÑOS/AUTODEFENSAS GAITANISTAS DE COLOMBIA/ÁGUILAS NEGRAS/CLAN ÚSUGA,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,4.0,NOT AVAILABLE,8.3453008459,-75.6148625657
3912,439429,,1979,2,6,68689,SAN VICENTE DE CHUCURI,SANTANDER,MAGDALENA MEDIO,ROUTE,GUERRILLA,FARC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,FIREARM,6.8803829351,-73.4110239344
3913,439430,CR004907,1983,2,5,68720,SANTA HELENA DEL OPON,SANTANDER,MAGDALENA MEDIO,ROUTE,PARAMILITARY GROUP,MUERTE A SECUESTRADORES (MAS),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,OCULTAMIENTO DE CADÁVER,14.0,FIREARM,6.4544841247,-73.5392879138
3914,439431,,1983,6,18,05585,PUERTO NARE,ANTIOQUIA,MAGDALENA MEDIO,ASSAULT,PARAMILITARY GROUP,NOT IDENTIFIED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,FIREARM,6.2194810893,-74.5716887665
3915,439432,,1983,7,22,05837,TURBO,ANTIOQUIA,URABA,ASSAULT,PARAMILITARY GROUP,NOT IDENTIFIED,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,4.0,FIREARM,8.089116411,-76.7291584376
3916,439433,,1983,8,4,05604,REMEDIOS,ANTIOQUIA,NORDESTE ANTIOQUEÑO,ROUTE,STATE AGENT - PARAMILITARY GROUP,DO NOT APPLY,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,22.0,BLADE WEAPONS - FIREARM,7.1745293732,-74.591737397
3917,439434,,1985,7,10,68895,ZAPATOCA,SANTANDER,SERRANIA DE LOS YARIGUIES,INCURSION,PARAMILITARY GROUP,MUERTE A SECUESTRADORES (MAS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,FIREARM,6.8143389004,-73.2679100841
3918,439435,CR004964,1985,10,5,19517,PAEZ,CAUCA,NORTE DEL CAUCA,UNKNOWN,GUERRILLA,FARC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.0,FIREARM,2.6413667676,-75.9719645112
